year,city,births,deaths_male,deaths_female,deaths_others,total_deaths
2017,Delhi,367046,83600,52485,32,136117
2018,Delhi,362803,89644,55848,41,145533
2019,Delhi,365868,89723,55527,34,145284
2020,Delhi,301645,88411,54350,28,142789
2021,Delhi,271786,103842,67602,32,171476
2022,Delhi,300350,79052,49004,50,128106
2023,Delhi,315087,81500,50868,23,132391
2024,Delhi,306459,85391,54051,38,139480
