year,city,births_reported,births_registered,deaths_reported,deaths_registered
2018,Chennai,57501,57501,33295,33295
2019,Chennai,107853,107852,68190,68190
2020,Chennai,95780,95780,73308,73303
2021,Chennai,93565,93564,92294,92290
2022,Chennai,100197,100177,67883,67880
2023,Chennai,97144,97138,68876,68869
2024,Chennai,91049,91005,67240,67235
2025,Chennai,84172,84092,67637,67546
